aglomerado,provincia_completa,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
2,buenos_aires,1,54,2,40.0,4,1,2,1,3,7125.0,S,1.7570250175702502,0
2,buenos_aires,2,21,5,,5,3,3,1,0,7125.0,S,1.7570250175702502,0
2,buenos_aires,1,2,5,,7,4,5,2,0,7125.0,S,1.7570250175702502,0
2,buenos_aires,1,58,3,48.0,4,1,1,1,3,28000.0,S,6.904800069048001,0
2,buenos_aires,1,57,2,48.0,3,1,1,1,3,15000.0,S,3.6990000369900002,0
2,buenos_aires,2,50,2,,3,3,2,1,0,15000.0,S,3.6990000369900002,0
2,buenos_aires,1,24,5,20.0,5,1,1,1,3,11900.0,S,2.9345400293454,0
2,buenos_aires,2,23,5,,5,3,1,1,0,4000.0,S,0.9864000098640001,1
2,buenos_aires,1,24,5,,5,3,1,1,0,6500.0,S,1.6029000160290001,0
2,buenos_aires,2,61,2,48.0,6,1,1,1,2,12200.0,S,3.0085200300852004,0
2,buenos_aires,1,66,2,,3,3,2,1,0,12200.0,S,3.0085200300852004,0
2,buenos_aires,2,50,3,35.0,6,1,1,1,3,18750.0,S,4.6237500462375,0
2,buenos_aires,1,16,5,,3,3,3,1,0,18750.0,S,4.6237500462375,0
2,buenos_aires,2,37,2,20.0,6,1,1,1,3,22500.0,S,5.548500055485,0
2,buenos_aires,1,38,2,48.0,4,1,2,1,3,22500.0,S,5.548500055485,0
2,buenos_aires,1,43,1,40.0,1,1,1,1,2,4950.0,S,1.2206700122067,0
2,buenos_aires,2,48,1,24.0,3,1,2,1,3,4950.0,S,1.2206700122067,0
2,buenos_aires,2,41,2,,4,3,1,1,0,3500.0,S,0.8631000086310001,1
2,buenos_aires,1,43,2,72.0,4,1,2,1,3,3500.0,S,0.8631000086310001,1
2,buenos_aires,1,14,5,,3,3,3,1,0,3500.0,S,0.8631000086310001,1
2,buenos_aires,2,11,5,,1,3,3,1,0,3500.0,S,0.8631000086310001,1
2,buenos_aires,1,63,2,32.0,6,1,1,1,3,6500.0,S,1.6029000160290001,0
2,buenos_aires,2,63,2,,6,3,2,1,0,6500.0,S,1.6029000160290001,0
2,buenos_aires,1,28,5,,6,2,3,1,2,6500.0,S,1.6029000160290001,0
2,buenos_aires,2,26,5,,5,2,3,1,0,6500.0,S,1.6029000160290001,0
2,buenos_aires,1,51,2,70.0,3,1,1,1,2,13000.0,S,3.2058000320580002,0
2,buenos_aires,2,60,2,70.0,2,1,2,1,2,13000.0,S,3.2058000320580002,0
