provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada,aglomerado,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,26,5.0,,5,3,1,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,24,5.0,,5,3,8,1.0,,5000.0,S,1.23300001233,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,24,5.0,,5,3,1,1.0,,6000.0,S,1.479600014796,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,23,1.0,30.0,6,1,1,1.0,3.0,4250.0,S,1.0480500104805002,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,75,2.0,,2,3,1,1.0,,6750.0,S,1.6645500166455,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,65,2.0,,2,3,2,1.0,,6750.0,S,1.6645500166455,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,63,2.0,,4,3,1,1.0,,6875.0,S,1.69537501695375,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,65,2.0,,2,3,2,1.0,,6875.0,S,1.69537501695375,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,64,2.0,,4,3,1,1.0,,11175.0,S,2.75575502755755,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,64,2.0,32.0,6,1,2,1.0,3.0,11175.0,S,2.75575502755755,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,38,5.0,30.0,3,1,1,1.0,3.0,1875.0,S,0.46237500462375,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,22,5.0,,5,3,3,1.0,,1875.0,S,0.46237500462375,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,12,5.0,,1,3,9,1.0,,1875.0,S,0.46237500462375,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,6,5.0,,1,4,3,1.0,,1875.0,S,0.46237500462375,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,25,5.0,,5,3,1,1.0,,6000.0,S,1.479600014796,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,24,5.0,,5,3,1,1.0,,7000.0,S,1.7262000172620002,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,26,5.0,,5,3,1,1.0,,7000.0,S,1.7262000172620002,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,36,5.0,24.0,6,1,1,1.0,3.0,2827.0,S,0.6971382069713821,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,17,5.0,,3,3,3,1.0,,2827.0,S,0.6971382069713821,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,15,5.0,,3,3,3,1.0,,2827.0,S,0.6971382069713821,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,10,5.0,,1,3,3,1.0,,2827.0,S,0.6971382069713821,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,6,5.0,,7,4,3,2.0,,2827.0,S,0.6971382069713821,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,75,2.0,,4,3,1,1.0,,7500.0,S,1.849500018495,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,76,2.0,,4,3,2,1.0,,7500.0,S,1.849500018495,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,36,1.0,72.0,2,1,1,1.0,2.0,5625.0,S,1.38712501387125,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,44,1.0,,4,3,2,1.0,,5625.0,S,1.38712501387125,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,7,5.0,,1,4,3,1.0,,5625.0,S,1.38712501387125,0
