ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7,intercepto
76.0,1.0,35.0,1.0,2,1.0,2.0,False,True,False,False,False,False,False,0
32.0,5.0,36.0,3.0,3,1.0,2.0,False,False,False,True,False,False,False,0
42.0,5.0,48.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
66.0,3.0,40.0,1.0,1,1.0,1.0,True,False,False,False,False,True,False,0
37.0,5.0,35.0,1.0,3,1.0,2.0,True,False,False,True,False,False,False,0
68.0,1.0,36.0,3.0,1,1.0,2.0,False,True,False,False,False,False,False,0
76.0,1.0,36.0,3.0,2,1.0,2.0,True,False,False,False,False,False,False,0
68.0,2.0,36.0,3.0,1,1.0,2.0,True,True,False,False,False,False,False,0
60.0,2.0,30.0,1.0,2,1.0,2.0,False,False,False,False,False,False,False,0
60.0,1.0,40.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
60.0,1.0,36.0,3.0,2,1.0,2.0,True,False,False,False,True,False,False,0
35.0,5.0,48.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
34.0,5.0,45.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
65.0,3.0,18.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
38.0,5.0,20.0,1.0,3,1.0,2.0,True,False,False,True,False,False,False,0
9.0,5.0,36.0,4.0,5,1.0,1.0,True,False,False,False,False,False,False,0
58.0,5.0,30.0,1.0,1,1.0,2.0,True,False,False,True,False,False,False,0
67.0,1.0,40.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
71.0,1.0,36.0,3.0,2,1.0,2.0,True,True,False,False,False,False,False,0
29.0,5.0,36.0,2.0,3,1.0,2.0,True,False,False,True,False,False,False,0
51.0,5.0,36.0,3.0,3,1.0,2.0,True,True,False,False,False,False,False,0
30.0,5.0,4.0,1.0,1,1.0,2.0,True,True,False,False,False,False,False,0
35.0,3.0,36.0,3.0,8,1.0,2.0,True,True,False,False,False,False,False,0
17.0,5.0,36.0,2.0,9,1.0,2.0,False,False,True,False,False,False,False,0
15.0,5.0,36.0,3.0,9,1.0,1.0,True,False,True,False,False,False,False,0
13.0,5.0,36.0,3.0,9,1.0,1.0,True,False,True,False,False,False,False,0
67.0,4.0,14.0,1.0,6,1.0,2.0,True,True,False,False,False,False,False,0
4.0,5.0,36.0,4.0,3,2.0,3.0,False,False,False,False,False,False,True,0
24.0,1.0,36.0,3.0,1,1.0,2.0,False,False,False,True,False,False,False,0
38.0,1.0,46.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
28.0,1.0,20.0,1.0,2,1.0,2.0,True,False,True,False,False,False,False,0
4.0,5.0,36.0,4.0,3,2.0,3.0,False,False,False,False,False,False,True,0
67.0,3.0,36.0,3.0,1,1.0,2.0,True,True,False,False,False,False,False,0
46.0,5.0,36.0,3.0,3,1.0,2.0,False,True,False,False,False,False,False,0
51.0,4.0,36.0,2.0,1,1.0,2.0,False,False,False,True,False,False,False,0
21.0,5.0,36.0,3.0,3,1.0,2.0,True,False,False,True,False,False,False,0
61.0,2.0,36.0,3.0,1,1.0,2.0,False,True,False,False,False,False,False,0
53.0,2.0,48.0,1.0,2,1.0,2.0,True,True,False,False,False,False,False,0
30.0,5.0,36.0,3.0,3,1.0,1.0,True,False,True,False,False,False,False,0
80.0,2.0,36.0,3.0,2,1.0,2.0,True,False,False,True,False,False,False,0
84.0,2.0,36.0,3.0,1,1.0,2.0,False,False,False,True,False,False,False,0
58.0,2.0,36.0,3.0,1,1.0,2.0,True,False,False,False,False,True,False,0
58.0,2.0,30.0,1.0,2,1.0,2.0,False,False,False,False,False,True,False,0
53.0,2.0,30.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
50.0,2.0,20.0,1.0,2,1.0,2.0,True,True,False,False,False,False,False,0
44.0,1.0,48.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
43.0,1.0,30.0,1.0,2,1.0,2.0,True,False,False,True,False,False,False,0
21.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,True,False,False,0
11.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,False,False,False,0
59.0,2.0,36.0,3.0,1,1.0,2.0,True,False,False,False,False,True,False,0
28.0,5.0,24.0,1.0,3,1.0,1.0,False,False,False,False,True,False,False,0
24.0,5.0,36.0,3.0,3,1.0,1.0,True,False,False,False,True,False,False,0
48.0,5.0,48.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
86.0,5.0,36.0,3.0,6,1.0,2.0,True,True,False,False,False,False,False,0
63.0,1.0,30.0,1.0,1,1.0,2.0,False,True,False,False,False,False,False,0
65.0,1.0,36.0,3.0,2,1.0,2.0,True,True,False,False,False,False,False,0
25.0,5.0,15.0,1.0,3,1.0,2.0,True,False,False,True,False,False,False,0
84.0,4.0,20.0,1.0,1,1.0,2.0,True,False,False,False,False,True,False,0
28.0,5.0,36.0,3.0,1,1.0,1.0,False,False,False,False,True,False,False,0
68.0,2.0,36.0,3.0,1,1.0,2.0,True,False,False,True,False,False,False,0
77.0,2.0,15.0,1.0,2,1.0,2.0,False,False,True,False,False,False,False,0
39.0,5.0,36.0,1.0,3,1.0,2.0,False,False,False,True,False,False,False,0
66.0,3.0,36.0,3.0,1,1.0,2.0,True,True,False,False,False,False,False,0
29.0,5.0,36.0,3.0,3,1.0,1.0,False,False,False,False,False,False,False,0
46.0,5.0,30.0,1.0,3,1.0,2.0,False,False,False,False,False,False,False,0
49.0,2.0,36.0,3.0,3,1.0,2.0,False,True,False,False,False,False,False,0
35.0,1.0,40.0,1.0,1,1.0,2.0,False,False,False,True,False,False,False,0
37.0,1.0,36.0,2.0,2,1.0,2.0,True,False,True,False,False,False,False,0
4.0,5.0,36.0,4.0,3,2.0,1.0,True,False,False,False,False,False,True,0
9.0,5.0,36.0,4.0,3,1.0,1.0,True,False,False,False,False,False,False,0
