ch06,ch07,pp3e_tot_clean,estado,ch03,ch09,ch10,pobre,ch04_2,nivel_ed_2,nivel_ed_3,nivel_ed_4,nivel_ed_5,nivel_ed_6,nivel_ed_7
2.0,5.0,36.0,4.0,5,2.0,3.0,1,True,False,False,False,False,False,True
27.0,5.0,36.0,3.0,1,1.0,2.0,1,True,False,False,True,False,False,False
10.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,False,False,False,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,True
1.0,5.0,36.0,4.0,3,3.0,2.0,1,False,False,False,False,False,False,True
50.0,2.0,48.0,1.0,6,1.0,2.0,1,False,False,True,False,False,False,False
45.0,2.0,36.0,3.0,6,1.0,2.0,1,True,False,True,False,False,False,False
73.0,4.0,36.0,3.0,9,1.0,2.0,1,True,False,True,False,False,False,False
13.0,5.0,36.0,3.0,8,1.0,1.0,1,False,False,True,False,False,False,False
33.0,5.0,45.0,1.0,1,1.0,2.0,0,False,False,False,False,True,False,False
70.0,2.0,36.0,3.0,1,1.0,2.0,0,True,False,False,False,False,True,False
75.0,2.0,36.0,3.0,1,1.0,2.0,0,False,False,False,False,False,True,False
76.0,2.0,36.0,3.0,2,1.0,2.0,0,True,False,False,False,True,False,False
4.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,True
33.0,2.0,36.0,3.0,1,1.0,2.0,1,True,False,False,False,False,True,False
35.0,2.0,72.0,1.0,2,1.0,2.0,1,False,False,True,False,False,False,False
34.0,1.0,48.0,1.0,1,1.0,2.0,1,False,False,False,True,False,False,False
33.0,1.0,36.0,3.0,2,1.0,2.0,1,True,False,True,False,False,False,False
16.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,True,False,False,False,False
14.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,True,False,False,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,False
41.0,2.0,60.0,1.0,1,1.0,2.0,1,False,False,False,False,False,False,False
41.0,2.0,36.0,3.0,2,1.0,2.0,1,True,False,True,False,False,False,False
15.0,5.0,36.0,3.0,3,1.0,1.0,1,True,False,True,False,False,False,False
5.0,5.0,36.0,4.0,3,2.0,1.0,1,True,False,False,False,False,False,True
72.0,4.0,36.0,3.0,1,1.0,2.0,1,True,True,False,False,False,False,False
26.0,5.0,36.0,3.0,3,1.0,2.0,1,True,False,False,False,False,False,False
36.0,5.0,40.0,1.0,3,1.0,2.0,1,True,False,False,True,False,False,False
48.0,5.0,46.0,1.0,3,1.0,2.0,1,False,True,False,False,False,False,False
18.0,5.0,36.0,3.0,5,1.0,2.0,1,False,True,False,False,False,False,False
15.0,5.0,36.0,3.0,5,1.0,1.0,1,False,False,False,False,False,False,False
39.0,2.0,24.0,1.0,1,1.0,2.0,1,False,False,False,True,False,False,False
39.0,2.0,36.0,3.0,2,1.0,2.0,1,True,False,False,True,False,False,False
17.0,5.0,36.0,3.0,3,1.0,2.0,1,False,False,False,True,False,False,False
38.0,5.0,40.0,1.0,3,1.0,2.0,0,False,False,False,False,False,True,False
33.0,5.0,48.0,1.0,3,1.0,2.0,0,False,False,False,True,False,False,False
18.0,5.0,36.0,3.0,5,1.0,2.0,0,True,False,False,False,True,False,False
39.0,5.0,0.0,1.0,3,1.0,2.0,0,True,False,False,False,False,True,False
49.0,2.0,24.0,1.0,1,1.0,1.0,0,False,False,False,False,True,False,False
46.0,2.0,36.0,3.0,2,1.0,2.0,0,True,False,False,False,False,True,False
19.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,False,False,True,False,False
50.0,1.0,42.0,1.0,1,1.0,2.0,1,False,False,True,False,False,False,False
51.0,1.0,36.0,3.0,2,1.0,2.0,1,True,False,False,True,False,False,False
53.0,1.0,45.0,1.0,1,1.0,2.0,1,False,False,True,False,False,False,False
47.0,1.0,36.0,3.0,2,1.0,2.0,1,True,False,False,True,False,False,False
24.0,5.0,10.0,1.0,1,1.0,1.0,1,True,False,False,False,True,False,False
55.0,3.0,45.0,1.0,1,1.0,2.0,0,True,False,False,True,False,False,False
19.0,5.0,36.0,3.0,3,1.0,1.0,0,False,False,False,False,True,False,False
73.0,2.0,24.0,1.0,1,1.0,2.0,0,False,False,False,True,False,False,False
73.0,2.0,36.0,1.0,2,1.0,2.0,0,True,False,False,True,False,False,False
44.0,5.0,3.0,1.0,3,1.0,2.0,0,True,False,False,True,False,False,False
2.0,5.0,36.0,4.0,5,2.0,3.0,0,False,False,False,False,False,False,True
8.0,5.0,36.0,4.0,5,1.0,1.0,0,False,False,False,False,False,False,False
20.0,5.0,36.0,3.0,5,1.0,1.0,0,False,False,False,False,True,False,False
49.0,5.0,30.0,1.0,1,1.0,2.0,0,True,False,False,True,False,False,False
39.0,1.0,15.0,1.0,1,1.0,1.0,1,True,False,False,False,True,False,False
14.0,5.0,36.0,3.0,3,1.0,1.0,1,False,False,True,False,False,False,False
8.0,5.0,36.0,4.0,3,1.0,1.0,1,True,False,False,False,False,False,False
32.0,1.0,20.0,1.0,1,1.0,2.0,0,False,False,False,True,False,False,False
33.0,1.0,15.0,1.0,2,1.0,2.0,0,True,False,False,False,False,True,False
2.0,5.0,36.0,4.0,3,2.0,3.0,0,True,False,False,False,False,False,True
65.0,2.0,36.0,3.0,1,1.0,2.0,0,False,False,False,True,False,False,False
63.0,2.0,36.0,3.0,2,1.0,3.0,0,True,False,False,False,False,False,True
82.0,5.0,36.0,3.0,1,1.0,2.0,0,False,False,False,True,False,False,False
51.0,2.0,36.0,3.0,1,1.0,2.0,1,True,True,False,False,False,False,False
28.0,5.0,36.0,3.0,3,1.0,2.0,1,True,False,False,False,False,True,False
21.0,5.0,36.0,3.0,3,1.0,2.0,1,True,False,False,False,False,True,False
9.0,5.0,36.0,4.0,5,1.0,1.0,1,False,False,False,False,False,False,False
1.0,5.0,36.0,4.0,5,3.0,2.0,1,False,False,False,False,False,False,True
92.0,4.0,36.0,3.0,1,2.0,3.0,0,False,False,False,False,False,False,True
