provincia_completa,anio,trimestre,empleo_prom_trimestre,salario_prom_trimestre,provincia_tratada
mendoza,2019,4,2452.0266666666666,51039.73132333333,1
mendoza,2020,1,2501.4521452145214,50914.41700990099,1
mendoza,2020,2,2280.145214521452,55563.4902970297,1
mendoza,2020,3,2241.62,51292.20196666667,1
mendoza,2020,4,2279.1966666666667,66408.68886,1
mendoza,2021,1,2400.0866666666666,65364.91323,1
mendoza,2021,2,2319.27,82368.28612666666,1
mendoza,2021,3,2272.8933333333334,80990.73759666666,1
mendoza,2021,4,2327.5033333333336,103260.57114,1
misiones,2015,1,1251.7283950617284,7783.143318106996,0
misiones,2015,2,1325.6032388663969,9515.32786194332,0
misiones,2015,3,1328.4698795180723,9235.95228634538,0
misiones,2015,4,1250.437751004016,11311.524076706826,0
misiones,2016,1,1248.2438016528927,10294.18600413223,0
misiones,2016,2,1333.5958333333333,12712.787849583334,0
misiones,2016,3,1312.6166666666666,12090.809189583333,0
misiones,2016,4,1245.6541666666667,15172.924390833334,1
misiones,2017,1,1228.6460905349795,14276.055244032923,1
misiones,2017,2,1346.0987654320988,16708.570699176955,1
misiones,2017,3,1318.329218106996,15877.492512345678,1
misiones,2017,4,1247.2116182572613,19273.530065145227,1
misiones,2018,1,1271.5186721991702,17409.598461410787,1
misiones,2018,2,1384.7178423236514,20211.838676763487,1
misiones,2018,3,1334.8291666666667,19207.519949166668,1
misiones,2018,4,1221.5892116182572,24830.36135352697,1
misiones,2019,1,1253.2175732217572,23988.654976987447,1
misiones,2019,2,1364.4979079497907,28568.924351046026,1
misiones,2019,3,1307.925,27853.8506,1
misiones,2019,4,1213.887029288703,36106.39979497909,1
misiones,2020,1,1234.373949579832,34722.32945798319,1
misiones,2020,2,1294.2689075630253,39068.434563025214,1
misiones,2020,3,1259.25,37381.4776625,1
misiones,2020,4,1182.489539748954,49880.19815062762,1
misiones,2021,1,1211.3791666666666,47140.47873333333,1
misiones,2021,2,1351.649789029536,58821.57552742616,1
misiones,2021,3,1363.7099567099567,59309.755476190476,1
misiones,2021,4,1287.7672413793102,76397.43002586206,1
neuquen,2015,1,1605.3076923076924,15455.951443589744,0
neuquen,2015,2,1573.6615384615384,17468.316813846155,0
neuquen,2015,3,1594.2666666666667,16094.909771282051,0
neuquen,2015,4,1680.3243243243244,19697.001647027028,0
neuquen,2016,1,1610.5948717948718,18955.15157076923,0
neuquen,2016,2,1555.4102564102564,22395.718784615383,0
neuquen,2016,3,1554.5257731958764,21178.102661340206,0
neuquen,2016,4,1575.4031413612565,26323.91145078534,1
neuquen,2017,1,1564.2731958762886,24540.091895360827,1
neuquen,2017,2,1504.5282051282052,28981.584752820512,1
neuquen,2017,3,1519.5846153846153,26729.890670769233,1
neuquen,2017,4,1557.9015544041451,33150.58661139896,1
neuquen,2018,1,1626.989417989418,30490.430306349204,1
neuquen,2018,2,1594.2879581151833,37258.390308900525,1
neuquen,2018,3,1606.8854166666667,34742.44200520834,1
neuquen,2018,4,1632.640625,45466.29341666666,1
neuquen,2019,1,1696.6288659793815,44652.119514948456,1
neuquen,2019,2,1719.1157894736841,55613.3351,1
neuquen,2019,3,1746.2275132275133,52642.63987830688,1
neuquen,2019,4,1770.5513513513513,69851.32933513513,1
neuquen,2020,1,1799.7103825136612,70788.04869398907,1
neuquen,2020,2,1690.3072625698323,70288.56967039107,1
neuquen,2020,3,1625.35,63859.56080555556,1
neuquen,2020,4,1646.85,84486.24805,1
neuquen,2021,1,1726.0391061452515,89907.15898882682,1
neuquen,2021,2,1724.0056497175142,110369.46327118645,1
neuquen,2021,3,1741.457627118644,106616.36354802261,1
neuquen,2021,4,1780.050847457627,138294.97566666667,1
rio_negro,2015,1,1953.7650273224044,11432.956290710383,0
rio_negro,2015,2,1817.6666666666667,14119.487066666667,0
rio_negro,2015,3,1831.3224043715848,12993.085162295081,0
rio_negro,2015,4,1870.6666666666667,15833.115044444445,0
rio_negro,2016,1,2030.5795454545455,15332.120058522727,0
rio_negro,2016,2,1864.225988700565,18663.01019661017,0
rio_negro,2016,3,1863.1797752808989,17428.341284269663,0
rio_negro,2016,4,1876.723163841808,21343.75241638418,1
rio_negro,2017,1,2020.6610169491526,20290.933327683615,1
rio_negro,2017,2,1861.734463276836,24915.093814124295,1
rio_negro,2017,3,1920.3779069767443,22681.864724418603,1
rio_negro,2017,4,1974.795321637427,27871.48099649123,1
